ID;Gemeente_Code;Gemeente_Naam;Provincie_Code;Provincie_Naam;Bevolking_Aantallen;zwaartepunt_x;zwaartepunt_y;oppervlakte_m2
1420;GM0356;Nieuwegein;PV26;Utrecht;66788;134925.12496008567;449204.773561585;25646426.570514
1494;GM0575;Noordwijk;PV28;Zuid-Holland;45929;92818.69877190042;476293.86009931634;74937377.46400744
1501;GM0820;Nuenen, Gerwen en Nederwetten;PV30;Noord-Brabant;24290;166272.28831596763;387740.57955396024;33943542.62732258
1513;GM1991;Maashorst;PV30;Noord-Brabant;59671;173551.91244265554;410921.63665553153;138238329.0407102
1517;GM0579;Oegstgeest;PV28;Zuid-Holland;26058;92358.5993093631;466775.507540191;7967206.997350491
1526;GM0823;Oirschot;PV30;Noord-Brabant;19536;148234.34387675047;389291.3799554459;102844864.6823526
1580;GM0718;Vlissingen;PV29;Zeeland;45755;22552.904407670434;387983.08910990844;344835167.7374506
1585;GM0431;Oostzaan;PV27;Noord-Holland;9733;120256.68380428472;496144.54254979006;16075517.102107512
1649;GM0716;Tholen;PV29;Zeeland;26942;66203.12939107414;398720.31134971307;254004781.24013853
1666;GM0590;Papendrecht;PV28;Zuid-Holland;32299;107863.9701963468;427403.88608373335;10789958.204079513
1694;GM0613;Albrandswaard;PV28;Zuid-Holland;26707;89445.21354378447;429703.3313575035;23755796.734384984
1709;GM0273;Putten;PV25;Gelderland;24953;168350.05526084482;472889.98542383645;87502677.62282006
1735;GM0339;Renswoude;PV26;Utrecht;5782;165076.47658800692;453416.88012650923;18510997.951730993
1749;GM0597;Ridderkerk;PV28;Zuid-Holland;47999;100515.80105374832;431434.5399795508;25262859.665509008
1766;GM0603;Rijswijk (ZH.);PV28;Zuid-Holland;60717;82187.9335789007;450294.6989639455;14502099.748594487
1800;GM0277;Rozendaal;PV25;Gelderland;1836;194839.0003331311;450627.72605013737;27919889.365008987
1801;GM0840;Rucphen;PV30;Noord-Brabant;23995;97491.69322500359;392957.8222545554;64475178.91411996
1819;GM1525;Teylingen;PV28;Zuid-Holland;38411;95179.33142299995;469905.7930244069;33486950.35401951
1839;GM0279;Scherpenzeel;PV25;Gelderland;10539;162764.17868734876;455679.7436825202;13814847.306670504
